"","fips","sector","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020","Y2021","Y2022","Y2023","Y2024","Y2025","Y2026","Y2027","Y2028","Y2029","Y2030","Y2031","Y2032","Y2033","Y2034","Y2035","Y2036","Y2037","Y2038","Y2039","Y2040","Y2041","Y2042","Y2043","Y2044","Y2045","Y2046","Y2047","Y2048","Y2049","Y2050","Y2051","Y2052","Y2053","Y2054","Y2055","Y2056","Y2057","Y2058","Y2059","Y2060","Y2061","Y2062","Y2063","Y2064","Y2065","Y2066","Y2067","Y2068","Y2069","Y2070"
"1",1001,"ic",32.97,32.8910923417624,32.8121846835249,32.7332770252873,32.6543693670498,32.5754617088122,32.5314732558177,32.4874848028232,32.4434963498287,32.3995078968342,32.3555194438397,32.4477684049673,32.5400173660949,32.6322663272225,32.7245152883501,32.8167642494777,32.9321913042944,33.047618359111,33.1630454139277,33.2784724687443,33.3938995235609,33.5738896583476,33.7538797931342,33.9338699279208,34.1138600627074,34.293850197494,34.6001027289992,34.9063552605044,35.2126077920096,35.5188603235148,35.82511285502,36.169725599681,36.514338344342,36.858951089003,37.203563833664,37.5481765783249,37.8544003314583,38.1606240845917,38.466847837725,38.7730715908584,39.0792953439917,39.4709977836928,39.8627002233939,40.254402663095,40.6461051027961,41.0378075424972,41.4455106335337,41.8532137245702,42.2609168156067,42.6686199066432,43.0763229976797,43.5275580603866,43.9787931230936,44.4300281858005,44.8812632485074,45.3324983112143
"2",1003,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1005,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1007,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1009,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1011,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1013,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1015,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1017,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1019,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1021,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1023,"ic",46.61,46.2500269390434,45.8900538780869,45.5300808171303,45.1701077561738,44.8101346952172,44.5503387700202,44.2905428448232,44.0307469196262,43.7709509944292,43.5111550692322,43.4782610423009,43.4453670153697,43.4124729884385,43.3795789615072,43.346684934576,43.3650354788243,43.3833860230727,43.401736567321,43.4200871115693,43.4384376558177,43.5581405675946,43.6778434793716,43.7975463911486,43.9172493029256,44.0369522147026,44.3362188408836,44.6354854670645,44.9347520932454,45.2340187194264,45.5332853456073,45.8890168604499,46.2447483752925,46.6004798901351,46.9562114049778,47.3119429198204,47.6269479923022,47.9419530647841,48.2569581372659,48.5719632097478,48.8869682822296,49.3209652238342,49.7549621654387,50.1889591070432,50.6229560486478,51.0569529902523,51.5154952652053,51.9740375401583,52.4325798151113,52.8911220900643,53.3496643650173,53.8713888971588,54.3931134293003,54.9148379614418,55.4365624935834,55.9582870257249
