"","fips","sector","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020","Y2021","Y2022","Y2023","Y2024","Y2025","Y2026","Y2027","Y2028","Y2029","Y2030","Y2031","Y2032","Y2033","Y2034","Y2035","Y2036","Y2037","Y2038","Y2039","Y2040","Y2041","Y2042","Y2043","Y2044","Y2045","Y2046","Y2047","Y2048","Y2049","Y2050","Y2051","Y2052","Y2053","Y2054","Y2055","Y2056","Y2057","Y2058","Y2059","Y2060","Y2061","Y2062","Y2063","Y2064","Y2065","Y2066","Y2067","Y2068","Y2069","Y2070"
"1",1001,"ic",32.97,32.609476285818,32.248952571636,31.888428857454,31.527905143272,31.16738142909,30.9457287352282,30.7240760413664,30.5024233475046,30.2807706536429,30.0591179597811,29.9363528981589,29.8135878365367,29.6908227749145,29.5680577132923,29.4452926516701,29.2978041396178,29.1503156275654,29.002827115513,28.8553386034607,28.7078500914083,28.6623456792912,28.616841267174,28.5713368550568,28.5258324429396,28.4803280308225,28.4147701102243,28.3492121896261,28.283654269028,28.2180963484298,28.1525384278316,28.1942236616276,28.2359088954235,28.2775941292195,28.3192793630154,28.3609645968114,28.4260272245359,28.4910898522603,28.5561524799848,28.6212151077093,28.6862777354337,28.7306633097105,28.7750488839873,28.8194344582641,28.8638200325409,28.9082056068177,28.9577042986996,29.0072029905816,29.0567016824635,29.1062003743454,29.1556990662273,29.2324684767865,29.3092378873457,29.3860072979049,29.4627767084641,29.5395461190233
"2",1003,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1005,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1007,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1009,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1011,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1013,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1015,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1017,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1019,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1021,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1023,"ic",46.61,45.8430121784375,45.0760243568751,44.3090365353126,43.5420487137501,42.7750608921877,42.270829360444,41.7665978287003,41.2623662969566,40.758134765213,40.2539032334693,39.9354215608868,39.6169398883043,39.2984582157218,38.9799765431393,38.6614948705568,38.3449361685851,38.0283774666134,37.7118187646418,37.3952600626701,37.0787013606984,36.9211578408481,36.7636143209978,36.6060708011475,36.4485272812971,36.2909837614468,36.1239027759963,35.9568217905457,35.7897408050952,35.6226598196446,35.455578834194,35.4420680696452,35.4285573050963,35.4150465405474,35.4015357759985,35.3880250114496,35.4124640045621,35.4369029976747,35.4613419907872,35.4857809838997,35.5102199770122,35.5211349290055,35.5320498809988,35.5429648329921,35.5538797849854,35.5647947369787,35.5878031755822,35.6108116141856,35.633820052789,35.6568284913924,35.6798369299958,35.7421134323157,35.8043899346355,35.8666664369553,35.9289429392752,35.991219441595
"13",1025,"ic",22.14,21.8156667240051,21.4913334480101,21.1670001720152,20.8426668960203,20.5183336200253,20.3106348126322,20.1029360052391,19.8952371978459,19.6875383904528,19.4798395830597,19.3547331076772,19.2296266322946,19.1045201569121,18.9794136815296,18.8543072061471,18.7243161165303,18.5943250269135,18.4643339372968,18.33434284768,18.2043517580632,18.1483761299443,18.0924005018253,18.0364248737063,17.9804492455874,17.9244736174684,17.8604211341502,17.7963686508321,17.7323161675139,17.6682636841957,17.6042112008775,17.6139805101645,17.6237498194515,17.6335191287385,17.6432884380254,17.6530577473124,17.6801266591614,17.7071955710104,17.7342644828594,17.7613333947084,17.7884023065575,17.8061237672297,17.823845227902,17.8415666885743,17.8592881492466,17.8770096099189,17.8994184069693,17.9218272040197,17.9442360010701,17.9666447981204,17.9890535951708,18.0301706387721,18.0712876823733,18.1124047259746,18.1535217695759,18.1946388131771
"14",1027,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1029,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1031,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1033,"ic",29.7,29.2196491361529,28.7392982723057,28.2589474084586,27.7785965446114,27.2982456807643,26.9793747827816,26.6605038847989,26.3416329868162,26.0227620888335,25.7038911908508,25.4983807804222,25.2928703699937,25.0873599595651,24.8818495491366,24.6763391387081,24.4705348173205,24.2647304959329,24.0589261745453,23.8531218531577,23.6473175317701,23.5416752807496,23.4360330297291,23.3303907787086,23.2247485276881,23.1191062766677,23.0082598248662,22.8974133730647,22.7865669212633,22.6757204694618,22.5648740176603,22.55033094169,22.5357878657197,22.5212447897494,22.5067017137791,22.4921586378088,22.5024354314778,22.5127122251468,22.5229890188158,22.5332658124848,22.5435426061538,22.5439436768413,22.5443447475289,22.5447458182164,22.5451468889039,22.5455479595915,22.5542999181491,22.5630518767068,22.5718038352645,22.5805557938222,22.5893077523799,22.6232180430843,22.6571283337886,22.691038624493,22.7249489151974,22.7588592059018
"18",1035,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1037,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1039,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1041,"ic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1043,"ic",2.43,2.4013397107446,2.37267942148921,2.34401913223381,2.31535884297841,2.28669855372301,2.26909261144138,2.25148666915975,2.23388072687812,2.21627478459649,2.19866884231486,2.18888146801721,2.17909409371956,2.16930671942191,2.15951934512426,2.14973197082661,2.13843979870278,2.12714762657895,2.11585545445512,2.10456328233129,2.09327111020746,2.08967621618232,2.08608132215718,2.08248642813204,2.0788915341069,2.07529664008176,2.07032661659803,2.0653565931143,2.06038656963057,2.05541654614684,2.05044652266311,2.05350274970223,2.05655897674134,2.05961520378046,2.06267143081958,2.0657276578587,2.07053713284531,2.07534660783193,2.08015608281854,2.08496555780516,2.08977503279177,2.0932155164286,2.09665600006543,2.10009648370227,2.1035369673391,2.10697745097593,2.11080200601312,2.11462656105032,2.11845111608751,2.1222756711247,2.1261002261619,2.13195371298546,2.13780719980902,2.14366068663257,2.14951417345613,2.15536766027969
