County,State_ID,County_ID,Latitude,Longitude,Brackish_TDS (g/L),Brackish_depth (feet),Brackish_availability (%),NF_Capacity (m3/day),NF_p_TDS (g/L),NF_b_TDS (g/L),LSRRO_recovery,LSRRO_Capacity (m3/day),Cryst capacity (m3/day),PV_Capacity (kW),Solar multiple,Storage/battery (hour),LCOE from solar field($/kWh),LCOE after curtailment adjustment ($/kWh),LCOE from grid,From EIA,LCOW ($/m3),PV_perc (%),Grid_perc (%),Curtail_perc (%),NF SEEC (kWh-e/m3),LSRRO SEEC (kWh-e/m3),Cryst SEEC (kWh-e/m3),Cryst STEC (kWh-th/m3),Pumping energy (kWh-e/m3),NF CAPEX ($),LSRRO CAPEX ($),Cryst CAPEX ($),Drilling cost ($),Elec cost ($/m3),Heat cost ($/m3),Salt recovery ($/m3),CAPEX LCOW ($/m3),Fixed OPEX LCOW ($/m3),Energy LCOW ($/m3)
Bourbon,21,21017,38.20673952,-84.21716136,1.67,1211.8222045500002,222193.613922509,176.0970758985942,1.2842742686688497,3.8316163301637967,0.9928651429518397,175.78673831519976,1.2564274631355046,16.258885619842996,1.8,0,0.0678060946856771,0.0724504859787313,0.059800000000000006,Yes,1.2055656927335794,27.368715137539255,72.63128486246075,6.410434975436353,0.2722749284894206,0.8723699776387219,0.32705234587412263,1.1211164354120209,1.3917919949215163,176876.99588989318,36240.17648462626,189874.05489610526,11220.416875432651,0.15741415671676773,0.02242232870824042,-0.024730917471292226,0.7172999846888529,0.3303203942694959,0.15794531377523074
Butler,21,21031,37.2072853,-86.68162769,2.715,1339.84598475,68460.02027648802,635.692851584884,2.2095059405847404,5.521089226907972,0.9877249669967515,633.7654733538001,7.803150733133604,101.02588510443037,1.8,0,0.07490935417425726,0.07938055112093496,0.059800000000000006,Yes,1.157957316071466,24.979376992587646,75.02062300741235,5.632610108571701,0.27230647965272914,1.0935928703938114,0.32533670053222313,1.9321913776776458,1.5388288059099053,638582.275048206,151420.80798678682,499424.5757751762,44726.75943875719,0.18481425428514014,0.03864382755355292,-0.04253656837249585,0.640828988346382,0.33362402642753064,0.18350430129755335
Estill,21,21065,37.69244478,-83.96431116,3.3050300000000004,1724.7105810000003,52716.01713906831,467.69894874062044,3.2308901282266773,3.652422755544654,0.9820506103987406,465.6254058108004,8.394910647044826,108.68799487274602,1.8,0,0.07047390802168484,0.07563684145202655,0.059800000000000006,Yes,1.3802532053021082,26.215752459554224,73.78424754044578,6.825950596596983,0.2721878041647126,1.3378058296589987,0.3253125040719485,2.8293779171858313,1.9808503022797963,469620.0301033009,129202.15537061512,519147.1963998492,42299.65985876955,0.22455597524236465,0.05658755834371663,-0.06228613703093983,0.7585542781690642,0.3987350080371316,0.22296391909591234
Fleming,21,21069,38.37011611,-83.69665699,2.61906,1354.2404823,32895.463547874424,470.347138985626,2.900886154633025,0.9732058753058466,0.9838839658075943,468.4748467338004,7.580130574192546,98.13821918083093,1.8,0,0.0689371959977946,0.07317949769020386,0.059800000000000006,Yes,1.2996224785997814,27.09606891157827,72.90393108842173,5.797117808007524,0.2720917564350877,1.2589018795727562,0.3253467917274714,2.539206064492925,1.5553610549360295,472112.44328803103,124029.04344454613,491810.12682868686,33416.89150136659,0.1918851788615458,0.0507841212898585,-0.05590043828848536,0.7286629749573474,0.3811257427756949,0.18983376086673903
Hardin,21,21093,37.69796207,-85.96344691,2.80572,1273.1290524,19864.35805879814,2862.9820046804566,1.9838108819961648,7.385836329791498,0.9889788284333546,2855.188310961604,31.55341586580168,408.5444144862706,1.8,0,0.07078660607936987,0.07459291707295519,0.059800000000000006,Yes,0.9696102942802807,26.58264068678291,73.41735931321709,5.10277804240122,0.2723927135840691,1.039629181885283,0.325076911637772,1.7344052194079913,1.4622036277098316,2876905.9254235732,658804.7754062199,1047152.4733344234,191465.77962056734,0.17402025918798478,0.03468810438815983,-0.038171224262604206,0.5090286280212752,0.2876788440253031,0.17290282223370235
Hart,21,21099,37.29992996,-85.88469141,4.14888,1312.5,24144.13896779858,667.5551943464675,2.7152281248443515,12.08329118442633,0.9849153993064202,665.0679528702001,10.06980354764149,130.37451495100456,1.8,0,0.07078010886004169,0.0745880139214575,0.059800000000000006,Yes,1.2111067991525182,26.58438813529513,73.41561186470487,5.1052506444609325,0.27255766622884336,1.2145110446502845,0.3252593391837632,2.3761438874046767,1.5074216221453287,671208.0211402535,171389.79795001436,571679.4082390886,45977.919142062885,0.187572108895401,0.04752287774809354,-0.052305472679993754,0.668386008805221,0.3573798334457482,0.18534095690154906
Leslie,21,21131,37.09406862,-83.38112755,1.5325499999999999,896.1012198000001,483604.1954554805,189.5569568369094,1.3448887754660852,2.5790317533349327,0.9925283956918551,189.20713207680006,1.4162945753414822,18.32884563786748,1.8,0,0.06892629033240126,0.07317185068492077,0.059800000000000006,Yes,1.1768692035595296,27.098900653292574,72.90109934670743,5.8021770841918,0.2722210466467748,0.886862906213941,0.3268296448618068,1.1742042885749482,1.029182746177009,190358.81106374532,39400.99382953831,202295.55269951155,8930.557071046633,0.1363840128883392,0.023484085771498964,-0.025894957746986285,0.7094990875629997,0.33121623102699427,0.13615388496953537
Madison,21,21151,37.72018202,-84.27800349,1.46398,1413.5943298500001,3763.7430383016726,5313.40774094508,1.7021981283874161,0.0976207013639326,0.990543343731181,5300.996714501398,50.24707062219956,650.5899321824986,1.8,0,0.06767284707022621,0.07196351742538895,0.059800000000000006,Yes,0.9189301240917973,27.55391597395817,72.44608402604183,5.962285486686038,0.2721050175654282,0.9722955724974313,0.3250449414289395,1.487633174783209,1.6235296440060394,5333609.929026097,1169939.040802773,1339978.2367193352,394699.2565083142,0.17779850168783548,0.029752663495664182,-0.03273903488468935,0.47308678549880684,0.26804043122315124,0.17780290736983917
Marion,21,21155,37.55253562,-85.26963595,2.65898,1236.84537045,45868.593930784846,648.5031266647931,1.5990318093670894,8.576645564374424,0.9911164899479606,647.0801636058001,5.760984044505641,74.58390252733294,1.8,0,0.070778843321258,0.07458705884625225,0.059800000000000006,Yes,1.059496513734356,26.58472854407401,73.41527145592599,5.105732259592378,0.27245786121447924,0.9476285056196712,0.32545796721285325,1.3971179371716222,1.4205313940317557,651812.9336208993,140463.3295483048,425259.75397824147,42155.81337797453,0.16573869845522105,0.027942358743432445,-0.030761328338948513,0.5926125606994366,0.301709505691566,0.16517444734335335
Nelson,21,21179,37.80515319,-85.46595986,2.0428699999999997,1273.97957775,5659.60563957488,6321.470376627653,1.8951711774178146,2.8513517427693498,0.9894712712365678,6305.0307860232015,66.55704698158446,861.7715723146641,1.8,0,0.06538006457224647,0.06955887891511559,0.059800000000000006,Yes,0.91367818513257,28.506450121900414,71.49354987809959,6.007593003286651,0.2722096800160809,1.0184354285205994,0.32503170378837115,1.6567272044432004,1.4631804660357535,6347946.069558628,1434768.7393549457,1555246.7039942618,423090.8727146278,0.1689618013602462,0.03313454408886401,-0.036459827576965344,0.4712746267976673,0.2737732630261485,0.16863029530875417
