County,State_ID,County_ID,Latitude,Longitude,Brackish_TDS (g/L),Brackish_depth (feet),Brackish_availability (%),NF_Capacity (m3/day),NF_p_TDS (g/L),NF_b_TDS (g/L),LSRRO_recovery,LSRRO_Capacity (m3/day),Cryst capacity (m3/day),PV_Capacity (kW),Solar multiple,Storage/battery (hour),LCOE from solar field($/kWh),LCOE after curtailment adjustment ($/kWh),LCOE from grid,From EIA,LCOW ($/m3),PV_perc (%),Grid_perc (%),Curtail_perc (%),NF SEEC (kWh-e/m3),LSRRO SEEC (kWh-e/m3),Cryst SEEC (kWh-e/m3),Cryst STEC (kWh-th/m3),Pumping energy (kWh-e/m3),NF CAPEX ($),LSRRO CAPEX ($),Cryst CAPEX ($),Drilling cost ($),Elec cost ($/m3),Heat cost ($/m3),Salt recovery ($/m3),CAPEX LCOW ($/m3),Fixed OPEX LCOW ($/m3),Energy LCOW ($/m3)
Bourbon,21,21017,38.20673952,-84.21716136,1.67,403.94073485,222193.613922509,176.0970758985942,1.2842742686688497,3.8316163301637967,0.9928651429518397,175.78673831519976,1.2564274631355046,16.258885619842996,1.8,0,0.06779940769889879,0.07244558743283669,0.059800000000000006,Yes,1.1339115250758371,27.370565725170678,72.62943427482932,6.413337096956134,0.2722749284894206,0.8723699776387219,0.32705234587412263,1.1211164354120209,0.46393066497383856,176876.99588989318,36240.17648462626,189874.05489610526,3740.13895847755,0.09975292549361757,0.02242232870824042,-0.024730917471292226,0.7043462125988335,0.3303203942694959,0.09924491820750803
Butler,21,21031,37.2072853,-86.68162769,2.715,446.61532825,68460.02027648802,635.692851584884,2.2095059405847404,5.521089226907972,0.9877249669967515,633.7654733538001,7.803150733133604,101.02588510443037,1.8,0,0.0749061701412548,0.07937821091453134,0.059800000000000006,Yes,1.0772685248822447,24.980113427644028,75.01988657235597,5.633839213246704,0.27230647965272914,1.0935928703938114,0.32533670053222313,1.9321913776776458,0.5129429353033018,638582.275048206,151420.80798678682,499424.5757751762,14908.919812919063,0.11936199115732207,0.03864382755355292,-0.04253656837249585,0.6265067062021757,0.33362402642753064,0.11713779225253847
Estill,21,21065,37.69244478,-83.96431116,3.3050300000000004,574.903527,52716.01713906831,467.69894874062044,3.2308901282266773,3.652422755544654,0.9820506103987406,465.6254058108004,8.394910647044826,108.68799487274602,1.8,0,0.07047067461613998,0.07563451703343173,0.059800000000000006,Yes,1.277363268610651,26.216558128510556,73.78344187148944,6.827362188363336,0.2721878041647126,1.3378058296589987,0.3253125040719485,2.8293779171858313,0.6602834340932656,469620.0301033009,129202.15537061512,519147.1963998492,14099.886619589848,0.14161834936364184,0.05658755834371663,-0.06228613703093983,0.7401179863569205,0.3987350080371316,0.13851027421659884
Fleming,21,21069,38.37011611,-83.69665699,2.61906,451.4134941,32895.463547874424,470.347138985626,2.900886154633025,0.9732058753058466,0.9838839658075943,468.4748467338004,7.580130574192546,98.13821918083093,1.8,0,0.0689343840124329,0.0731775260223795,0.059800000000000006,Yes,1.219379257683133,27.09679897789711,72.90320102210289,5.798422330715217,0.2720917564350877,1.2589018795727562,0.3253467917274714,2.539206064492925,0.5184536849786766,472112.44328803103,124029.04344454613,491810.12682868686,11138.963833788863,0.12715151023866025,0.0507841212898585,-0.05590043828848536,0.7141868228478006,0.3811257427756949,0.12406669205963759
Hardin,21,21093,37.69796207,-85.96344691,2.80572,424.3763508,19864.35805879814,2862.9820046804566,1.9838108819961648,7.385836329791498,0.9889788284333546,2855.188310961604,31.55341586580168,408.5444144862706,1.8,0,0.07078490781534237,0.07459163549762797,0.059800000000000006,Yes,0.8938742461011583,26.583097408977352,73.41690259102265,5.103424340932512,0.2723927135840691,1.039629181885283,0.325076911637772,1.7344052194079913,0.4874012092366104,2876905.9254235732,658804.7754062199,1047152.4733344234,63821.92654018911,0.11272632974269435,0.03468810438815983,-0.038171224262604206,0.4954195164502457,0.2876788440253031,0.11077588562560962
Hart,21,21099,37.29992996,-85.88469141,4.14888,437.5,24144.13896779858,667.5551943464675,2.7152281248443515,12.08329118442633,0.9849153993064202,665.0679528702001,10.06980354764149,130.37451495100456,1.8,0,0.07077731142012716,0.07458590273930321,0.059800000000000006,Yes,1.1330293122462378,26.585140616445173,73.41485938355483,5.106315240948477,0.27255766622884336,1.2145110446502845,0.3252593391837632,2.3761438874046767,0.502473874048443,671208.0211402535,171389.79795001436,571679.4082390886,15325.973047354299,0.12438367022398572,0.04752287774809354,-0.052305472679993754,0.6543560415341857,0.3573798334457482,0.12129343726630393
Leslie,21,21131,37.09406862,-83.38112755,1.5325499999999999,298.7004066,483604.1954554805,189.5569568369094,1.3448887754660852,2.5790317533349327,0.9925283956918551,189.20713207680006,1.4162945753414822,18.32884563786748,1.8,0,0.06892053611489934,0.0731678184430522,0.059800000000000006,Yes,1.1237726588401815,27.100394060147124,72.89960593985288,5.804850299669099,0.2722210466467748,0.886862906213941,0.3268296448618068,1.1742042885749482,0.3430609153923362,190358.81106374532,39400.99382953831,202295.55269951155,2976.8523570155444,0.09355039080310072,0.023484085771498964,-0.025894957746986285,0.6999202145837015,0.33121623102699427,0.09263621322948594
Madison,21,21151,37.72018202,-84.27800349,1.46398,471.19810995,3763.7430383016726,5313.40774094508,1.7021981283874161,0.0976207013639326,0.990543343731181,5300.996714501398,50.24707062219956,650.5899321824986,1.8,0,0.06767159561482322,0.07196262918045851,0.059800000000000006,Yes,0.8354668979871844,27.55425607583952,72.44574392416048,5.962863800980365,0.2721050175654282,0.9722955724974313,0.3250449414289395,1.487633174783209,0.5411765480020131,5333609.929026097,1169939.040802773,1339978.2367193352,131566.41883610474,0.11057641946953227,0.029752663495664182,-0.03273903488468935,0.457976170502756,0.26804043122315124,0.1094502962612772
Marion,21,21155,37.55253562,-85.26963595,2.65898,412.28179015,45868.593930784846,648.5031266647931,1.5990318093670894,8.576645564374424,0.9911164899479606,647.0801636058001,5.760984044505641,74.58390252733294,1.8,0,0.07077541917277912,0.07458447466271728,0.059800000000000006,Yes,0.985919641201702,26.585649644863324,73.41435035513668,5.10703535442639,0.27245786121447924,0.9476285056196712,0.32545796721285325,1.3971179371716222,0.47351046467725183,651812.9336208993,140463.3295483048,425259.75397824147,14051.937792658182,0.10619269304388344,0.027942358743432445,-0.030761328338948513,0.5793913035057259,0.301709505691566,0.10481883200441014
Nelson,21,21179,37.80515319,-85.46595986,2.0428699999999997,424.65985925,5659.60563957488,6321.470376627653,1.8951711774178146,2.8513517427693498,0.9894712712365678,6305.0307860232015,66.55704698158446,861.7715723146641,1.8,0,0.06537887297555255,0.06955803765384005,0.059800000000000006,Yes,0.8390138643770343,28.506794889715465,71.49320511028453,6.00816932053975,0.2722096800160809,1.0184354285205994,0.32503170378837115,1.6567272044432004,0.48772682201191775,6347946.069558628,1434768.7393549457,1555246.7039942618,141030.29090487593,0.10897828091057242,0.03313454408886401,-0.036459827576965344,0.4576564235368672,0.2737732630261485,0.1075841778140186
