County,State_ID,County_ID,Latitude,Longitude,Brackish_TDS (g/L),Brackish_depth (feet),Brackish_availability (%),MDB_recovery,MDB_Capacity (m3/day),Cryst capacity (m3/day),FPC_Capacity (kW),Solar multiple,Storage (hour),LCOH from solar field($/kWh),LCOH after curtailment adjustment ($/kWh),LCOE from grid,From EIA,LCOW ($/m3),PV_perc (%),Grid_perc (%),Curtail_perc (%),MDB SEEC (kWh-e/m3),MDB STEC (kWh-th/m3),Cryst SEEC (kWh-e/m3),Cryst STEC (kWh-th/m3),Pumping energy (kWh-e/m3),MDB CAPEX ($),Cryst CAPEX ($),Drilling cost ($),Elec cost ($/m3),Heat cost ($/m3),Salt recovery ($/m3),CAPEX LCOW ($/m3),Fixed OPEX LCOW ($/m3),Energy LCOW ($/m3)
Bourbon,21,21017,38.20673952,-84.21716136,1.67,1211.8222045500002,258231.65706364176,0.9907222222222222,175.78673831519976,1.6346562908878532,1504.970402103558,3,8,0.04912137578755711,0.05269136834104921,0.059800000000000006,Yes,4.0850754302353085,31.716530605099194,68.2834693949008,6.775289133478244,0.31052810157305616,66.99521009131755,0.31697314714177344,1.4118541492278596,1.194972924932615,496622.6476541112,217961.60165350244,11220.416875432651,0.09003195942192593,2.0465513213268625,-0.03207615933934812,1.4653882966096692,0.11323475986615615,2.5798268203288792
Butler,21,21031,37.2072853,-86.68162769,2.715,1339.84598475,79509.08347184493,0.9849166666666667,633.7654733538001,9.595043022118976,5576.168304244104,3,8,0.053124295943682905,0.05619957858353005,0.059800000000000006,Yes,3.8238526571205087,29.44893800118969,70.55106199881031,5.472074199411155,0.31475778982909425,68.4528975547319,0.31623704457725027,2.3040353330711674,1.3212166515388075,1431605.9148468259,556561.2457536559,44726.75943875719,0.09783239129857985,2.1467008228005446,-0.052170194870480247,1.1907219703547738,0.08019924272421926,2.6373321399510887
Estill,21,21065,37.69244478,-83.96431116,3.3050300000000004,1724.7105810000003,61372.90365033259,0.9816387222222223,465.6254058108004,8.588427960813938,4187.184119111274,3,8,0.04842658533318684,0.05239404965690443,0.059800000000000006,Yes,4.0052519764608325,31.589289563035848,68.41071043696415,7.572356688780513,0.3179596430385836,69.63084353248442,0.315513497548061,2.799680543220111,1.7007300575129565,1106424.454660321,524762.1606952971,42299.65985876955,0.12071538939039549,2.1525240168086333,-0.06354757851373051,1.3130805295027106,0.10292283109327856,2.6614759292780557
Fleming,21,21069,38.37011611,-83.69665699,2.61906,1354.2404823,38374.51003611455,0.9854496666666667,468.4748467338004,6.841051454274553,4111.478175124023,3,8,0.04546623862176223,0.04891854758812238,0.059800000000000006,Yes,3.8414641674705416,33.88108161181401,66.11891838818599,7.057259744151483,0.3143842050719446,68.32254550679525,0.3163260154316988,2.2220830675674335,1.3354110067632576,1106118.2923650576,465226.2826859097,33416.89150136659,0.09865917145001801,2.0667154134191454,-0.05032456252224641,1.256501151439856,0.09069092781894995,2.5657697414832397
Hardin,21,21093,37.69796207,-85.96344691,2.80572,1273.1290524,23029.314058239353,0.9844126666666667,2855.188310961604,44.676780725130826,25181.11219691117,3,8,0.050739392561454814,0.054142417318968634,0.059800000000000006,Yes,3.502193216527332,30.432157835694213,69.56784216430579,6.285321058839342,0.3151087277795105,68.5754991829748,0.31603667110430933,2.3816177749434195,1.2554273571246026,5424680.311514233,1257560.567928834,191465.77962056734,0.09391878378372846,2.1285412308206024,-0.053910255285580314,0.9476401968466646,0.040223516440295475,2.593854713242534
Hart,21,21099,37.29992996,-85.88469141,4.14888,1312.5,27893.41554617249,0.9769506666666666,665.0679528702001,15.417145602247466,6103.534195134831,3,8,0.05085788018279437,0.05429305542024452,0.059800000000000006,Yes,3.967541236782312,30.444019872571857,69.55598012742814,6.327098762191332,0.32102298188573514,70.69746904174636,0.3156250280333049,3.521763821855729,1.294250887700535,1501602.2834269626,715513.9897283417,45977.919142062885,0.09658712644023149,2.2299111529779587,-0.07986183826542498,1.2593565227330594,0.09825122842287887,2.6923455452051748
Leslie,21,21131,37.09406862,-83.38112755,1.5325499999999999,896.1012198000001,562665.0004144644,0.9914858333333333,189.20713207680006,1.6143360042956505,1614.580010467389,3,8,0.04578098908607577,0.049299992228403595,0.059800000000000006,Yes,3.9698640805848493,33.882206053700585,66.11779394629941,7.137938533589455,0.3099406669193443,66.79898630567764,0.31679993488441033,1.2945370935292,0.8836417517681389,525899.9953877744,216517.5246402877,8930.557071046633,0.07137915622652596,2.0033258906158373,-0.02942945176812998,1.416653452884493,0.10450604955769528,2.518070104143547
Madison,21,21151,37.72018202,-84.27800349,1.46398,1413.5943298500001,4389.510519210878,0.9918667777777778,5300.996714501398,43.200970963283694,44750.91415186711,3,8,0.04289661865224383,0.04665472639054558,0.059800000000000006,Yes,3.241765222508488,35.268932752691526,64.73106724730847,8.055149025722967,0.3088548723409233,66.32481568765878,0.3168534916802405,1.2438875631076842,1.3939395933385186,9491355.772877462,1235512.2008744793,394699.2565083142,0.1018303707042022,1.9461777609871591,-0.028084212332293655,0.8442535309998512,0.02128508477561574,2.4386221921830025
Marion,21,21155,37.55253562,-85.26963595,2.65898,1236.84537045,65866.77995920202,0.9852278888888889,521.7174289422001,7.735090943787804,4583.564626068748,3,8,0.05092439911513993,0.05437142256707443,0.059800000000000006,Yes,3.850892719415776,30.46208119345937,69.53791880654063,6.339770580183251,0.31453996366534803,68.37687172269331,0.3162909350025386,2.2561800756762924,1.2196481665929215,1210760.5386675757,496509.28328188375,33988.7139299211,0.09174574816180843,2.1242234885822664,-0.05109257113050301,1.2299523575923321,0.0869116326699295,2.613022971260494
Nelson,21,21179,37.80515319,-85.46595986,2.0428699999999997,1273.97957775,15087.049922029579,0.9886507222222223,2752.4853895212004,31.326538059768154,23791.708863669544,3,8,0.04384931050031941,0.047537554286872646,0.059800000000000006,Yes,3.379684153256925,34.63763560459347,65.36236439540653,7.758589691627721,0.31208146481776555,67.52434598009648,0.31579323123635084,1.7306349273558068,1.2562660566973642,5234040.072205156,1041856.0803152369,184701.94438516125,0.0937892943215396,2.0077995220537916,-0.0392091731573052,0.9250181255048561,0.03456754915525362,2.48747035943259
